id,filter_num1,kernel_size1,filter_num2,kernel_size2,hidden_layer1,hidden_layer2,learning_rate,batch_size,train_accuracy,validation_accuracy
276,12,3,32,5,100,50,0.03,128,20.83801842,20.29637337
278,8,5,48,5,100,40,0.01,256,56.85743713,56.49463654
279,8,3,24,5,80,50,0.001,128,91.10372925,85.9887619
27,8,3,32,3,120,60,0.01,128,66.07562256,64.89524841
280,4,3,48,3,100,40,0.03,128,7.531936646,7.511497498
281,12,3,48,5,120,40,0.003,32,78.22687531,77.1078186
28,8,3,32,5,80,50,0.01,64,20.83801842,20.29637337
291,4,3,32,3,80,40,0.03,256,20.83801842,20.29637337
294,12,5,24,5,80,40,0.001,32,95.87123108,86.20336914
296,12,3,24,5,100,50,0.03,32,2.498722553,2.514052153
297,12,5,48,3,120,40,0.03,32,20.83801842,20.29637337
29,12,3,24,3,120,40,0.003,32,91.07817841,84.49667358
309,12,3,32,3,120,60,0.003,256,96.35155487,86.96984863
30,8,3,48,3,120,50,0.01,32,20.83801842,20.29637337
310,4,5,24,5,80,40,0.01,256,86.44864655,81.10372925
311,4,3,32,3,100,60,0.001,32,96.6734848,86.15227509
315,4,3,48,5,80,50,0.001,32,98.69698334,86.24424744
316,12,5,32,5,80,40,0.03,128,20.83801842,20.29637337
317,8,5,24,5,120,40,0.03,128,20.83801842,20.29637337
318,8,3,24,5,120,40,0.003,128,95.66172791,84.93612671
319,4,3,24,5,80,50,0.03,128,20.83801842,20.29637337
31,12,5,24,5,120,60,0.001,32,96.77056885,86.16249847
320,4,3,48,5,80,40,0.03,32,7.531936646,7.511497498
321,12,3,48,5,100,40,0.001,32,98.64588165,87.27644348
323,8,3,32,3,120,60,0.03,64,20.83801842,20.29637337
32,12,5,32,5,80,60,0.003,64,87.31221008,82.90240479
331,12,5,48,3,120,50,0.01,256,20.83801842,20.29637337
332,12,5,48,3,120,40,0.003,64,90.93510437,84.24118805
333,4,3,24,5,80,60,0.001,128,89.86203766,84.89524841
334,8,3,32,3,80,40,0.001,256,88.85028076,85.7026062
335,8,3,24,3,80,40,0.001,256,88.65099335,85.65150452
336,12,3,48,5,80,40,0.001,32,97.2253418,86.24424744
337,12,3,32,3,120,60,0.03,32,20.83801842,20.29637337
338,12,3,48,5,100,60,0.003,256,96.36177826,86.60194397
33,4,5,24,3,100,40,0.001,128,91.78845215,85.50843048
341,4,3,24,3,120,50,0.001,128,91.01686096,86.00920105
343,12,5,24,3,120,40,0.03,32,9.443025589,9.156872749
344,8,3,32,3,100,50,0.003,128,98.02759552,86.27490997
348,12,3,24,5,100,40,0.01,256,20.83801842,20.29637337
349,12,5,48,3,100,60,0.03,256,20.83801842,20.29637337
34,4,5,24,5,100,50,0.003,128,96.48952484,85.26315308
350,8,5,48,3,100,50,0.003,64,95.10986328,85.19161987
351,8,3,48,5,80,60,0.03,32,20.83801842,20.29637337
352,12,5,24,5,80,50,0.03,128,20.83801842,20.29637337
353,4,5,32,3,100,40,0.01,128,73.84261322,71.8446579
354,8,5,48,5,80,40,0.03,32,20.83801842,20.29637337
357,4,3,48,3,80,60,0.001,32,98.49770355,86.50996399
359,12,5,48,5,120,60,0.003,64,81.89575958,79.98977661
35,4,3,24,3,80,60,0.003,32,94.91568756,84.19008636
361,4,3,32,5,120,40,0.01,256,87.5114975,81.79867554
365,12,5,48,5,120,60,0.01,128,20.83801842,20.29637337
367,4,5,32,5,120,40,0.003,128,96.65814972,84.74195099
369,8,5,48,3,80,50,0.003,128,96.791008,84.91568756
371,8,5,24,5,120,40,0.001,64,96.03985596,86.01941681
372,8,3,32,3,120,50,0.01,32,20.83801842,20.29637337
373,4,3,24,5,120,60,0.01,32,20.83801842,20.29637337
377,4,5,32,5,120,40,0.01,256,77.71078491,75.78947449
379,8,3,48,3,80,50,0.003,256,97.89473724,87.26622772
37,12,3,24,3,100,50,0.01,64,20.83801842,20.29637337
381,12,5,24,3,100,50,0.001,32,96.98007202,86.48952484
382,12,3,24,5,80,50,0.01,32,20.83801842,20.29637337
383,8,3,48,5,100,40,0.003,128,98.12467957,86.55084229
385,8,5,32,5,120,60,0.01,256,20.83801842,20.29637337
387,4,3,32,5,80,60,0.01,32,20.83801842,20.29637337
389,12,5,32,5,100,60,0.001,256,92.65712738,86.66326141
38,12,3,24,5,120,60,0.001,256,89.81093597,85.52886963
390,12,5,48,3,100,60,0.001,64,95.97342682,85.94787598
392,4,3,32,5,100,40,0.001,256,87.54216003,84.31272888
393,8,3,32,5,100,40,0.003,128,96.60193634,85.44711304
394,12,5,32,3,120,60,0.03,64,20.83801842,20.29637337
396,4,5,32,3,100,50,0.03,128,20.83801842,20.29637337
397,4,3,24,5,100,40,0.03,64,20.83801842,20.29637337
398,8,5,24,5,100,60,0.01,256,20.83801842,20.29637337
399,12,5,32,5,120,40,0.003,256,96.07562256,86.81655884
39,12,3,24,3,80,50,0.001,32,97.22023773,86.84721375
400,8,3,24,5,100,60,0.01,128,66.86765289,65.94787598
401,4,3,24,3,80,40,0.003,256,92.8155365,85.66172791
